M&M,754,817,750.8,751.5,810,58.5,7.78,12501628,9937294065,952.05,320.6,123.58,-5.21
BAJAJFINSV,9200,9847.5,9190.05,9163.15,9766,602.85,6.58,830915,7966621910,10579,3985.3,118.34,-1.28
TATAMOTORS,287.25,304.55,280.55,286.55,302,15.45,5.39,116874853,34256019414,357,71,307.88,-4.63
BAJFINANCE,4535.1,4774.9,4514.05,4511,4730,219,4.85,3175019,14796382295,5822.2,1783,106.74,-14.92
MARUTI,6520,6845.4,6468.8,6520.6,6825,304.4,4.67,995718,6704766725,8329,4637.5,29.01,-3.95
HDFC,2422.4,2523.1,2412.25,2419.85,2522,102.15,4.22,3832030,9459710938,2896,1486,51.82,-2.14
JSWSTEEL,607,632.8,604,604.15,629,24.85,4.11,26091257,16115525799,639,152.6,275.99,50.53
ONGC,98.05,102.5,98.05,98.05,102,3.95,4.03,25505623,2591881409,122.35,60.8,35.98,-11.3
ICICIBANK,541,563.8,537.85,538.55,559.6,21.05,3.91,25445897,14108477592,679.4,285.55,69.54,-8.53
POWERGRID,205.15,209.4,202.45,201.15,209,7.85,3.9,11154981,2309304167,238.3,153.3,30.51,-5.14
INDUSINDBK,850,881,844.5,844.4,876.95,32.55,3.85,6778840,5861120641,1119.5,330,113.79,-14.2
AXISBANK,635.6,664.85,630,635.6,660,24.4,3.84,12737650,8300744376,799,332.85,57.78,-11.94
SBIN,332,342.25,330.5,328.85,341.25,12.4,3.77,49773360,16743758304,427.7,149.45,85.83,-10.52
HINDALCO,336.2,350.3,336.2,336.2,348.6,12.4,3.69,12942071,4461649557,374,102.75,206.41,5.6
TATASTEEL,862,881.6,849,851.55,878.95,27.4,3.22,20428502,17733165446,953.65,259.2,211.1,22.09
HEROMOTOCO,2799,2879,2773.25,2786.1,2868,81.9,2.94,714921,2021153159,3629.05,1752.55,49.31,-14.48
COALINDIA,124.8,128.45,124.8,124.7,128.3,3.6,2.89,7809483,990242444.4,163,109.55,-12.3,-14.98
EICHERMOT,2427.2,2504.95,2420.2,2427.2,2497.05,69.85,2.88,720904,1777749264,3037,1285.55,-81.39,-5.45
SBILIFE,881.45,900.75,874.75,872.45,897.15,24.7,2.83,1174856,1040475971,983.75,667,26.85,-1.79
BHARTIARTL,526.4,540,523.1,522.45,536.85,14.4,2.76,6535007,3469761967,623,394,4.68,2.28
HDFCLIFE,689.15,710.7,685,687.3,705.5,18.2,2.65,4171978,2928770276,746,451.15,47.78,-0.66
UPL,594,618.5,589,589.55,604.25,14.7,2.49,10046450,6076595283,673.95,316.5,86.06,-2.53
HDFCBANK,1368,1406.45,1361,1367.05,1401,33.95,2.48,9300341,12864510681,1641,826.1,56.4,-9.77
LT,1347.25,1382,1347.25,1345.15,1376.55,31.4,2.33,2063654,2824027953,1593,791.7,58.73,-9.27
IOC,87.2,89.25,87.1,87,88.95,1.95,2.24,15976037,1413240233,105,71.15,6.79,-12.34
KOTAKBANK,1745.8,1786.05,1723.45,1742.5,1777,34.5,1.98,3118742,5469462595,2049,1108.2,41.97,-8.23
TITAN,1528.6,1553.3,1516.65,1510.45,1540,29.55,1.96,1880575,2887829776,1621.35,810,58.31,3.24
NTPC,99.6,101.15,99.25,99.05,100.85,1.8,1.82,19192856,1926003100,114.7,78.1,13.48,-7.79
BAJAJ-AUTO,3569,3623.7,3515.2,3541,3605,64,1.81,412122,1469252021,4361.4,2264.5,50.26,-3.84
SHREECEM,30200,30699.9,30110,29881.05,30420.95,539.9,1.81,91665,2785004529,32048,16222.3,75.46,9.58
ITC,207,209.7,206,205.3,208.65,3.35,1.63,20247639,4206244526,239.2,157.1,14.92,1.71
SUNPHARMA,624,635.55,616.1,619.35,628.45,9.1,1.47,7399207,4625910224,654.4,434.25,35.69,2.24
ULTRACEMCO,6550,6656.45,6504.6,6509.4,6603,93.6,1.44,551188,3628751710,7055.95,3231,90.54,-0.51
BPCL,405,412.5,402.2,403.95,409.4,5.45,1.35,4032156,1648426016,482.4,291.8,16.94,-10.52
TATACONSUM,657,677.9,656,655.6,663.8,8.2,1.25,3065417,2042916505,685,301.1,117.65,7.92
RELIANCE,1924,1940.6,1917.85,1911.15,1932.3,21.15,1.11,8958261,17301806130,2369.35,1131.68,62.45,-9.63
GRASIM,1372.8,1406.7,1370.6,1376.6,1389.55,12.95,0.94,1423254,1981966590,1472.7,469.2,155.68,0.92
HINDUNILVR,2470,2505.9,2448.8,2462,2467,5,0.2,1811781,4472471988,2526.15,1902,4.6,11.32
ASIANPAINT,2600,2626,2564.3,2602.2,2574.5,-27.7,-1.06,1200230,3105151040,2873.45,1482.95,52.94,7.05
CIPLA,921.95,932.6,878.3,902.4,889,-13.4,-1.48,11667200,10497446528,940,565.6,49.31,9.83
ADANIPORTS,750,755.75,701.35,744.65,733.1,-11.55,-1.55,52812517,38229924806,885,247.5,178.12,0.4
INFY,1433,1435.25,1375,1425.75,1402.85,-22.9,-1.61,14855206,20721675401,1477.55,603.5,119.2,1.62
NESTLEIND,17587,17599.95,17040.1,17501.7,17210,-291.7,-1.67,110527,1906310011,18844,15100,3.43,2.67
DIVISLAB,3847,3850,3702,3779.65,3716,-63.65,-1.68,606699,2285732416,3914.95,2090.05,58.83,5.88
BRITANNIA,3814.1,3847,3729.05,3812.75,3748,-64.75,-1.7,411660,1562714876,4010,2697.35,38.43,9.08
HCLTECH,1012.5,1020.8,972.2,1009.4,988.3,-21.1,-2.09,7773994,7704183534,1067,447.85,114.6,0.42
WIPRO,432,437.55,412.6,432.6,421.75,-10.85,-2.51,20420320,8594708485,467.45,173.8,121.43,-1.47
TECHM,1045,1050.25,983,1039.85,1005,-34.85,-3.35,6448995,6467761575,1081.55,490,90.16,-0.14
TCS,3214,3214,3073.05,3246.55,3120,-126.55,-3.9,8654596,26968846233,3354.35,1675.05,76.44,1.51
DRREDDY,5144.7,5144.7,4751.1,4996.95,4799.45,-197.5,-3.95,3937234,19219371537,5512.65,3607.2,27.51,7.92
M&M,754,817,750.8,751.5,810,58.5,7.78,12501628,9937294065,952.05,320.6,123.58,-5.21
M&M,754,817,750.8,751.5,810,58.5,7.78,12501628,9937294065,952.05,320.6,123.58,-5.21
M&M,754,817,750.8,751.5,810,58.5,7.78,12501628,9937294065,952.05,320.6,123.58,-5.21
M&M,754,817,750.8,751.5,810,58.5,7.78,12501628,9937294065,952.05,320.6,123.58,-5.21
M&M,754,817,750.8,751.5,810,58.5,7.78,12501628,9937294065,952.05,320.6,123.58,-5.21
